Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Tarik Skubal","DET",14.2286,6.75514,18.3845,2.71828,29.8417,29.8417,0,0,0,192.28,752.309,147.569,63.1245,58.0746,18.7203,38.6955,0.665513,6.50926,232.792,10.8962,1.81121,6.016,0.876236,0.309437,0.0514356,0.2580011449754238,0.208695,0.968713,0.282816,0.769355,,,2.68472,6.01053,5.94871,6.820000171661377,3.3964,-1.59375,2.0436,3.3964,1.59375,2.2752,1130.3000000000002,5.886979166666667,1041,5.421875,,,,,,,,,,,,,,,,,,,"Tarik Skubal","22267",669373
"Paul Skenes","PIT",12.1361,7.97149,17.752,2.76036,30.1736,30.1736,0,0,0,187.474,745.158,146.816,62.4996,57.4996,15.5494,46.2623,0.851012,6.53004,224.507,10.7778,2.2209,4.85291,0.746473,0.301288,0.0620839,0.2392038144171238,0.212049,1.02989,0.290213,0.762239,,,2.6631,5.75212,6.05223,10.329999923706055,1.96417,-0.100589,1.77521,1.96417,0.100589,2.63305,1095.8,5.859893048128342,1018,5.44385026737968,,,,,,,,,,,,,,,,,,,"Paul Skenes","33677",694973
"Garrett Crochet","BOS",13.5011,7.91971,15.55,3.04827,28.9291,28.9291,0,0,0.706619,181.736,726.685,146.121,66.9059,61.5534,19.3645,46.6126,1.79746,5.09929,223.062,11.0465,2.30836,4.78544,0.958977,0.306958,0.0641442,0.24281390011310577,0.216484,1.06051,0.293046,0.759722,,,2.91917,5.07826,5.0605,11.760000228881836,5.03631,-1.16415,1.43129,5.03631,1.16415,3.09162,1023.4999999999999,5.623626373626373,953,5.236263736263736,,,,,,,,,,,,,,,,,,,"Garrett Crochet","27463",676979
"Logan Webb","SFG",13.3949,9.68771,17.2292,3.29989,30.2322,30.2322,0,0.179871,0,196.813,809.252,186.049,78.4374,72.1624,15.6506,44.585,0.910579,5.8915,186.162,8.51293,2.03881,4.17543,0.71568,0.230042,0.0550941,0.17494774609804153,0.245197,1.17184,0.305943,0.72918,,,3.04654,4.94768,4.64132,61.41999816894531,4.67807,-0.618892,1.16087,4.67807,0.618892,3.45217,996.4000000000002,5.05786802030457,996,5.055837563451776,,,,,,,,,,,,,,,,,,,"Logan Webb","17995",657277
"Cristopher Sánchez","PHI",12.255,7.75667,16.7925,3.19044,29.6035,29.6035,0,0,0,190.364,777.252,171.036,73.3507,67.4826,16.4017,46.2905,2.21112,5.96743,184.578,8.72646,2.18852,3.98739,0.77544,0.237475,0.0595566,0.17791856452822685,0.235913,1.14164,0.295095,0.740752,,,3.13955,4.63233,4.9652,26.09000015258789,3.70375,-0.847128,1.13083,3.70375,0.847128,3.49222,978.6,5.150526315789474,956,5.031578947368421,,,,,,,,,,,,,,,,,,,"Cristopher Sanchez","20778",650911
"Chris Sale","ATL",10.8954,6.18854,13.86,3.18491,25.3123,25.3123,0,0,0,155.602,631.189,128.193,59.8525,55.0643,16.5545,40.7348,0.656135,8.86551,191.221,11.0602,2.3561,4.6943,0.957512,0.302954,0.0645366,0.23841743171215057,0.220419,1.08564,0.298648,0.748365,,,3.01668,3.86851,3.9898,39.400001525878906,3.37606,-0.10871,1.08619,3.37606,0.10871,3.55175,844.5000000000002,5.41346153846154,791,5.07051282051282,,,,,,,,,,,,,,,,,,,"Chris Sale","10603",519242
"Yoshinobu Yamamoto","LAD",12.2051,6.75632,13.7905,3.24938,26.3873,26.3873,0,0,0,160.775,652.072,131.107,63.094,58.0464,15.8131,47.1,0.729452,4.96618,174.636,9.77597,2.63661,3.70778,0.885201,0.267818,0.0722314,0.19558659940958023,0.21851,1.10843,0.281511,0.73758,,,3.21286,3.79224,3.8721,27.579999923706055,3.36505,-0.551797,1.01792,3.36505,0.551797,3.64277,848.0000000000001,5.267080745341616,791,4.913043478260869,,,,,,,,,,,,,,,,,,,"Yoshinobu Yamamoto","33825",808967
"Cole Ragans","KCR",9.955,7.82214,12.8749,3.42647,25.999,25.999,0,0,0,152.616,624.038,121.48,63.1563,58.1038,16.4004,53.5448,1.73839,4.90108,188.961,11.1433,3.15762,3.52903,0.967156,0.302804,0.0858037,0.21700012683868408,0.214783,1.14683,0.2917,0.735665,,,3.20473,3.74376,3.32331,45,4.0268,-0.615039,0.881863,4.0268,0.615039,3.82418,821.8000000000001,5.37124183006536,758,4.954248366013072,,,,,,,,,,,,,,,,,,,"Cole Ragans","21846",666142
"Dylan Cease","TOR",10.9588,9.79566,12.9348,3.71186,29.7858,29.7858,0,0,0,175.257,728.144,145.801,78.5662,72.2809,21.3066,66.9761,1.52166,5.3695,207.176,10.6391,3.43944,3.09328,1.09416,0.284526,0.091982,0.1925436407327652,0.222326,1.21409,0.29134,0.733601,,,3.58973,3.69125,2.86849,79.51000213623047,6.01766,-1.1665,1.14825,6.01766,1.1665,3.46899,855.1,4.886285714285714,800,4.571428571428571,,,,,,,,,,,,,,,,,,,"Dylan Cease","18525",656302
"Framber Valdez","DET",12.896,9.65074,15.9563,3.49001,28.6856,28.6856,0,0,0,186.858,779.814,166.829,78.7602,72.4594,15.8984,61.1166,0.724796,8.11279,173.96,8.3788,2.94369,2.84636,0.765746,0.223079,0.0783733,0.14470576494932175,0.234777,1.21989,0.289847,0.7253,,,3.49074,3.6619,3.73715,87.87000274658203,3.94925,-2.13831,1.12504,3.94925,2.13831,3.49995,893.8,4.779679144385026,868,4.641711229946524,,,,,,,,,,,,,,,,,,,"Framber Valdez","17295",664285
