team_id,team_name,player_name,fg_id,position,salary,player_type
4059,Hollyhood,Fernando Tatis Jr.,23682,OF,57,hitters
4059,Hollyhood,Gunnar Henderson,37806,SS,39,hitters
4059,Hollyhood,Ketel Marte,18466,2B,28,hitters
4059,Hollyhood,Junior Caminero,39108,3B,23,hitters
4059,Hollyhood,Teoscar Hernandez,23651,OF,20,hitters
4059,Hollyhood,Jackson Chourio,39277,OF,19,hitters
4059,Hollyhood,Michael Harris II,37295,OF,16,hitters
4059,Hollyhood,Willson Contreras,12398,1B,13,hitters
4059,Hollyhood,Hunter Goodman,40389,C,6,hitters
4059,Hollyhood,Trent Grisham,18547,OF,6,hitters
4059,Hollyhood,Trevor Story,18153,SS,6,hitters
4059,Hollyhood,Willi Castro,21708,2B/3B/OF,5,hitters
4059,Hollyhood,Lars Nootbaar,34601,OF,5,hitters
4059,Hollyhood,Jeremy Pena,35939,SS,5,hitters
4059,Hollyhood,Colton Cowser,39978,OF,5,hitters
4059,Hollyhood,Ernie Clement,31958,1B/2B/SS/3B,4,hitters
4059,Hollyhood,Austin Wells,38317,C,3,hitters
4059,Hollyhood,Lazaro Montes,41160,OF,2,hitters
4059,Hollyhood,Mike Yastrzemski,18383,OF,1,hitters
4059,Hollyhood,Rainiel Rodriguez,45018,C,1,hitters
4059,Hollyhood,Jesus Luzardo,23741,SP,13,pitchers
4059,Hollyhood,Carlos Rodon,18359,SP,13,pitchers
4059,Hollyhood,Eury Perez,38559,SP,12,pitchers
4059,Hollyhood,Nick Lodolo,36686,SP,12,pitchers
4059,Hollyhood,Connelly Early,44515,SP/RP,10,pitchers
4059,Hollyhood,Mitch Keller,20936,SP,8,pitchers
4059,Hollyhood,Trevor Rogers,33607,SP,8,pitchers
4059,Hollyhood,Daniel Palencia,38781,RP,7,pitchers
4059,Hollyhood,Trevor Megill,20989,RP,7,pitchers
4059,Hollyhood,Liam Doyle,47533,SP/RP,6,pitchers
4059,Hollyhood,Garrett Whitlock,27185,RP,6,pitchers
4059,Hollyhood,Bailey Ober,32966,SP,6,pitchers
4059,Hollyhood,Grant Taylor,44544,SP/RP,5,pitchers
4059,Hollyhood,Quinn Priester,36682,SP/RP,5,pitchers
4059,Hollyhood,Robert Garcia,31984,RP,3,pitchers
4059,Hollyhood,Payton Tolle,46310,SP/RP,3,pitchers
4059,Hollyhood,Casey Mize,33616,SP,3,pitchers
4059,Hollyhood,Kyle Harrison,38410,SP/RP,2,pitchers
4059,Hollyhood,Jackson Jobe,40097,SP,1,pitchers
4059,Hollyhood,Johan Oviedo,33424,SP,1,pitchers
4059,Hollyhood,Cody Ponce,21961,SP/RP,1,pitchers
4144,Rick Vaughn's Wild Things,Jose Altuve,5918,2B/OF,33,hitters
4144,Rick Vaughn's Wild Things,Bo Bichette,23767,SS,31,hitters
4144,Rick Vaughn's Wild Things,Christian Yelich,14893,OF,22,hitters
4144,Rick Vaughn's Wild Things,Cody Bellinger,19328,OF,21,hitters
4144,Rick Vaughn's Wild Things,Carlos Correa,18160,SS/3B,19,hitters
4144,Rick Vaughn's Wild Things,Nico Hoerner,33627,2B,12,hitters
4144,Rick Vaughn's Wild Things,Josh Naylor,22655,1B,12,hitters
4144,Rick Vaughn's Wild Things,J.T. Realmuto,14864,C,11,hitters
4144,Rick Vaughn's Wild Things,Ozzie Albies,18397,2B,9,hitters
4144,Rick Vaughn's Wild Things,Sal Frelick,40298,OF,8,hitters
4144,Rick Vaughn's Wild Things,Tommy Edman,31703,2B/3B/OF,6,hitters
4144,Rick Vaughn's Wild Things,Jordan Beck,42277,OF,6,hitters
4144,Rick Vaughn's Wild Things,Adolis García,23745,OF,6,hitters
4144,Rick Vaughn's Wild Things,Justin Crawford,42428,OF,5,hitters
4144,Rick Vaughn's Wild Things,Jorge Polanco,13217,2B/3B,4,hitters
4144,Rick Vaughn's Wild Things,Charlie Condon,45715,1B,4,hitters
4144,Rick Vaughn's Wild Things,Masataka Yoshida,42722,OF,3,hitters
4144,Rick Vaughn's Wild Things,Coby Mayo,38378,1B,3,hitters
4144,Rick Vaughn's Wild Things,Tyler Stephenson,22654,C,2,hitters
4144,Rick Vaughn's Wild Things,Edgar Quero,38887,C,1,hitters
4144,Rick Vaughn's Wild Things,Parker Meadows,35450,OF,1,hitters
4144,Rick Vaughn's Wild Things,Gavin Lux,32576,2B/3B/OF,1,hitters
4144,Rick Vaughn's Wild Things,Logan Gilbert,33682,SP,25,pitchers
4144,Rick Vaughn's Wild Things,Chris Sale,14393,SP,23,pitchers
4144,Rick Vaughn's Wild Things,Tatsuya Imai,48241,SP/RP,22,pitchers
4144,Rick Vaughn's Wild Things,Joe Ryan,35196,SP,20,pitchers
4144,Rick Vaughn's Wild Things,Zac Gallen,23779,SP,13,pitchers
4144,Rick Vaughn's Wild Things,Jhoan Duran,22559,RP,11,pitchers
4144,Rick Vaughn's Wild Things,David Bednar,31951,RP,10,pitchers
4144,Rick Vaughn's Wild Things,Aaron Nola,18357,SP,9,pitchers
4144,Rick Vaughn's Wild Things,Robert Suarez,22078,RP,8,pitchers
4144,Rick Vaughn's Wild Things,Robbie Ray,14941,SP,7,pitchers
4144,Rick Vaughn's Wild Things,Noah Schultz,42873,SP,6,pitchers
4144,Rick Vaughn's Wild Things,Thomas White,44487,SP,5,pitchers
4144,Rick Vaughn's Wild Things,Gabe Speier,19520,RP,3,pitchers
4144,Rick Vaughn's Wild Things,Cristian Javier,22694,SP,3,pitchers
4144,Rick Vaughn's Wild Things,Adrian Houser,28712,SP/RP,3,pitchers
4144,Rick Vaughn's Wild Things,Max Meyer,38307,SP,1,pitchers
4144,Rick Vaughn's Wild Things,Brendon Little,31812,RP,1,pitchers
4067,Large Farva,Corey Seager,18216,SS,40,hitters
4067,Large Farva,Kyle Schwarber,18347,OF,35,hitters
4067,Large Farva,Mookie Betts,18276,SS,32,hitters
4067,Large Farva,Mike Trout,6305,OF,24,hitters
4067,Large Farva,Vinnie Pasquantino,37094,1B,14,hitters
4067,Large Farva,Brandon Lowe,31741,2B,14,hitters
4067,Large Farva,Max Muncy,18255,3B,9,hitters
4067,Large Farva,Jo Adell,23792,OF,8,hitters
4067,Large Farva,Jonathan Aranda,33217,1B,7,hitters
4067,Large Farva,Ivan Herrera,26099,C,6,hitters
4067,Large Farva,Matt Wallner,37174,OF,6,hitters
4067,Large Farva,Royce Lewis,23796,3B,6,hitters
4067,Large Farva,Luis Arraez,20545,1B/2B,5,hitters
4067,Large Farva,Ryan O'Hearn,21156,1B/OF,4,hitters
4067,Large Farva,Jordan Walker,38366,OF,3,hitters
4067,Large Farva,Dominic Canzone,37536,OF,3,hitters
4067,Large Farva,Brandon Marsh,23868,OF,3,hitters
4067,Large Farva,Gabriel Moreno,26134,C,3,hitters
4067,Large Farva,Tyler Freeman,26882,2B/OF,3,hitters
4067,Large Farva,Nolan Gorman,33623,2B/3B,3,hitters
4067,Large Farva,Edouard Julien,38350,1B/2B,1,hitters
4067,Large Farva,Garrett Mitchell,38325,OF,1,hitters
4067,Large Farva,Logan Webb,21015,SP,31,pitchers
4067,Large Farva,Cole Ragans,23625,SP,24,pitchers
4067,Large Farva,Framber Valdez,22426,SP,23,pitchers
4067,Large Farva,Tyler Glasnow,18236,SP,15,pitchers
4067,Large Farva,Jacob DeGrom,14294,SP,13,pitchers
4067,Large Farva,Mason Miller,40862,RP,11,pitchers
4067,Large Farva,Andres Munoz,33259,RP,9,pitchers
4067,Large Farva,Will Warren,40972,SP,5,pitchers
4067,Large Farva,JR Ritchie,42538,SP,5,pitchers
4067,Large Farva,Riley O'Brien,26531,RP,4,pitchers
4067,Large Farva,Justin Steele,21039,RP,4,pitchers
4067,Large Farva,Cade Cavalli,38334,SP,3,pitchers
4067,Large Farva,Braxton Ashcraft,35776,SP/RP,3,pitchers
4067,Large Farva,Abner Uribe,35602,RP,3,pitchers
4067,Large Farva,Will Vest,26446,RP,3,pitchers
4067,Large Farva,Joey Cantillo,27148,SP/RP,3,pitchers
4067,Large Farva,Joe Boyle,38397,SP,1,pitchers
4067,Large Farva,Matthew Liberatore,33611,SP/RP,1,pitchers
4067,Large Farva,Hunter Barco,43911,SP/RP,1,pitchers
4142,The Milwaukee Beers,Aaron Judge,18312,OF,74,hitters
4142,The Milwaukee Beers,Bobby Witt Jr.,36668,SS,54,hitters
