team_id,team_name,player_name,fg_id_x,position,salary,player_type,OTTONEUID,IDFANGRAPHS,fg_id_y,Name,FPTS
4059,Hollyhood,Fernando Tatis Jr.,23682,OF,57,hitters,23682,19709,19709,Fernando Tatis Jr.,962.2
4059,Hollyhood,Gunnar Henderson,37806,SS,39,hitters,37806,26289,26289,Gunnar Henderson,998.2
4059,Hollyhood,Ketel Marte,18466,2B,28,hitters,18466,13613,13613,Ketel Marte,845.1
4059,Hollyhood,Junior Caminero,39108,3B,23,hitters,39108,28163,28163,Junior Caminero,919.0
4059,Hollyhood,Teoscar Hernandez,23651,OF,20,hitters,23651,13066,13066,Teoscar Hernández,751.7
4059,Hollyhood,Jackson Chourio,39277,OF,19,hitters,39277,28806,28806,Jackson Chourio,815.2
4059,Hollyhood,Michael Harris II,37295,OF,16,hitters,37295,25931,25931,Michael Harris II,720.2
4059,Hollyhood,Willson Contreras,12398,1B,13,hitters,12398,11609,11609,Willson Contreras,716.4
4059,Hollyhood,Hunter Goodman,40389,C,6,hitters,40389,29715,29715,Hunter Goodman,731.8
4059,Hollyhood,Trevor Story,18153,SS,6,hitters,18153,12564,12564,Trevor Story,691.0
4059,Hollyhood,Trent Grisham,18547,OF,6,hitters,18547,18564,18564,Trent Grisham,639.6
4059,Hollyhood,Colton Cowser,39978,OF,5,hitters,39978,29591,29591,Colton Cowser,599.2
4059,Hollyhood,Lars Nootbaar,34601,OF,5,hitters,34601,21454,21454,Lars Nootbaar,600.8
4059,Hollyhood,Jeremy Pena,35939,SS,5,hitters,35939,21636,21636,Jeremy Peña,759.6
4059,Hollyhood,Willi Castro,21708,2B/3B/OF,5,hitters,21708,17338,17338,Willi Castro,619.7
4059,Hollyhood,Ernie Clement,31958,1B/2B/SS/3B,4,hitters,31958,20352,20352,Ernie Clement,603.8
4059,Hollyhood,Austin Wells,38317,C,3,hitters,38317,27562,27562,Austin Wells,511.1
4059,Hollyhood,Lazaro Montes,41160,OF,2,hitters,,,,,0.0
4059,Hollyhood,Rainiel Rodriguez,45018,C,1,hitters,,,,,0.0
4144,Rick Vaughn's Wild Things,Jose Altuve,5918,2B/OF,33,hitters,5918,5417,5417,Jose Altuve,677.9
4144,Rick Vaughn's Wild Things,Bo Bichette,23767,SS,31,hitters,23767,19612,19612,Bo Bichette,799.2
