playerid,PlayerName,minpos,G,GS,IP,SV,HLD,FPTS,Team,season,stats,role
10954,Jacob deGrom,P,32.0,32.0,200.5238037109375,0.0,0.0,1215.7318943023681,TEX,2021,pit,SP
19427,Shane Bieber,P,30.780000686645508,30.780000686645508,194.55670166015625,0.0,0.0,1034.8698766708374,TOR,2021,pit,SP
15689,Luis Castillo,P,30.780000686645508,30.780000686645508,186.8105010986328,0.0,0.0,924.0240779876709,SEA,2021,pit,SP
13125,Gerrit Cole,P,32.0,32.0,201.30990600585938,0.0,0.0,1021.7996824264527,NYY,2021,pit,SP
13074,Yu Darvish,P,30.780000686645508,30.780000686645508,189.2628936767578,0.0,0.0,989.7213628768922,SDP,2021,pit,SP
3137,Max Scherzer,P,29.15999984741211,29.15999984741211,178.9835968017578,0.0,0.0,903.6807181358338,TOR,2021,pit,SP
16162,Brandon Woodruff,P,30.780000686645508,30.780000686645508,184.8813018798828,0.0,0.0,914.0905698776245,MIL,2021,pit,SP
12703,Trevor Bauer,P,30.780000686645508,30.780000686645508,195.31629943847656,0.0,0.0,931.2319730758668,,2021,pit,SP
19374,Walker Buehler,P,29.15999984741211,29.15999984741211,172.16909790039062,0.0,0.0,854.8997991561889,SDP,2021,pit,SP
16149,Aaron Nola,P,30.780000686645508,30.780000686645508,190.29249572753906,0.0,0.0,895.8347072601321,PHI,2021,pit,SP
2036,Clayton Kershaw,P,29.15999984741211,29.15999984741211,175.09689331054688,0.0,0.0,822.4662808418274,,2021,pit,SP
15038,Germán Márquez,P,30.780000686645508,30.780000686645508,192.1116943359375,0.0,0.0,750.0164352416995,SDP,2021,pit,SP
10131,Stephen Strasburg,P,27.540000915527344,27.540000915527344,162.66160583496094,0.0,0.0,704.9968727111816,,2021,pit,SP
9323,Patrick Corbin,P,30.780000686645508,30.780000686645508,190.44219970703125,0.0,0.0,791.2288007736206,,2021,pit,SP
13543,Blake Snell,P,27.540000915527344,27.540000915527344,150.80499267578125,0.0,0.0,767.1178327560424,LAD,2021,pit,SP
4676,Charlie Morton,P,29.15999984741211,29.15999984741211,168.20050048828125,0.0,0.0,767.0683193206786,,2021,pit,SP
14107,Kevin Gausman,P,29.15999984741211,29.15999984741211,169.71890258789062,0.0,0.0,794.5167349815368,TOR,2021,pit,SP
12768,Sonny Gray,P,27.540000915527344,27.540000915527344,158.5406951904297,0.0,0.0,692.6563711166382,BOS,2021,pit,SP
17479,Jack Flaherty,P,30.780000686645508,30.780000686645508,181.81320190429688,0.0,0.0,851.4424638748169,DET,2021,pit,SP
12970,Joe Musgrove,P,29.15999984741211,29.15999984741211,169.47540283203125,0.0,0.0,727.8372172355652,SDP,2021,pit,SP
10310,Zack Wheeler,P,29.15999984741211,29.15999984741211,181.18539428710938,0.0,0.0,755.1944207191468,PHI,2021,pit,SP
19361,Corbin Burnes,P,25.920000076293945,25.920000076293945,152.38720703125,0.0,0.0,707.2908835411072,ARI,2021,pit,SP
2520,Lance Lynn,P,30.780000686645508,30.780000686645508,191.4969024658203,0.0,0.0,766.2092189788818,,2021,pit,SP
13743,Max Fried,P,29.15999984741211,29.15999984741211,170.6634063720703,0.0,0.0,723.8495937347411,NYY,2021,pit,SP
17186,Dinelson Lamet,P,22.68000030517578,22.68000030517578,128.202392578125,0.0,0.0,674.5280635833742,,2021,pit,SP
12049,Kyle Hendricks,P,29.15999984741211,29.15999984741211,182.7382049560547,0.0,0.0,696.5669728279115,,2021,pit,SP
15474,Lucas Giolito,P,29.15999984741211,29.15999984741211,172.21949768066406,0.0,0.0,744.5501823425291,,2021,pit,SP
14374,Tyler Glasnow,P,27.540000915527344,27.540000915527344,162.9696044921875,0.0,0.0,790.0719517707826,LAD,2021,pit,SP
17085,Pablo López,P,27.540000915527344,27.540000915527344,159.92820739746094,0.0,0.0,691.5016386032104,MIN,2021,pit,SP
13431,Marcus Stroman,P,27.540000915527344,27.540000915527344,163.99620056152344,0.0,0.0,671.1848119735716,,2021,pit,SP
6632,Carlos Carrasco,P,21.059999465942383,21.059999465942383,120.62409973144531,0.0,0.0,607.8067988395692,ATL,2021,pit,SP
14120,Lance McCullers Jr.,P,25.920000076293945,25.920000076293945,147.94720458984375,0.0,0.0,650.2459886550903,HOU,2021,pit,SP
19680,Sixto Sánchez,P,24.299999237060547,24.299999237060547,138.04310607910156,0.0,0.0,589.6005214691163,MIA,2021,pit,SP
19959,Jesús Luzardo,P,25.920000076293945,25.920000076293945,150.93319702148438,0.0,0.0,642.3785042762756,PHI,2021,pit,SP
18498,Kenta Maeda,P,29.15999984741211,29.15999984741211,171.6134033203125,0.0,0.0,679.0705386161806,,2021,pit,SP
15423,Andrew Heaney,P,29.15999984741211,29.15999984741211,171.70069885253906,0.0,0.0,655.1049063682556,,2021,pit,SP
14444,Hyun Jin Ryu,P,29.15999984741211,29.15999984741211,178.87379455566406,0.0,0.0,676.049763774872,,2021,pit,SP
14168,José Berríos,P,29.15999984741211,29.15999984741211,177.74090576171875,0.0,0.0,709.4489633560179,TOR,2021,pit,SP
