playerid,PlayerName,G,GS,IP,SV,HLD,FPTS,Team,season,stats,role
22267,Tarik Skubal,32.0,32.0,199.765,0.0,0.0,1153.6,DET,2026,pit,SP
33677,Paul Skenes,32.0,32.0,193.982,0.0,0.0,1100.4,PIT,2026,pit,SP
27463,Garrett Crochet,32.0,32.0,192.855,0.0,0.0,1093.7,BOS,2026,pit,SP
20778,Cristopher Sánchez,32.0,32.0,198.055,0.0,0.0,976.0,PHI,2026,pit,SP
10603,Chris Sale,27.54,27.54,168.535,0.0,0.0,918.2,ATL,2026,pit,SP
17995,Logan Webb,32.0,32.0,199.392,0.0,0.0,974.1000000000003,SFG,2026,pit,SP
21846,Cole Ragans,29.16,29.16,172.018,0.0,0.0,893.0999999999999,KCR,2026,pit,SP
10954,Jacob deGrom,29.16,29.16,174.797,0.0,0.0,875.5999999999999,TEX,2026,pit,SP
12768,Sonny Gray,30.78,30.78,181.357,0.0,0.0,854.5000000000001,BOS,2026,pit,SP
18525,Dylan Cease,30.78,30.78,177.809,0.0,0.0,876.5000000000001,TOR,2026,pit,SP
17295,Framber Valdez,30.78,30.78,190.384,0.0,0.0,883.2,DET,2026,pit,SP
10310,Zack Wheeler,25.92,25.92,154.827,0.0,0.0,808.1999999999999,PHI,2026,pit,SP
13743,Max Fried,30.78,30.78,189.434,0.0,0.0,884.3000000000001,NYY,2026,pit,SP
25880,Hunter Brown,30.78,30.78,184.176,0.0,0.0,870.3000000000002,HOU,2026,pit,SP
19959,Jesús Luzardo,30.78,30.78,180.975,0.0,0.0,850.1,PHI,2026,pit,SP
33825,Yoshinobu Yamamoto,25.92,25.92,154.428,0.0,0.0,739.1000000000003,LAD,2026,pit,SP
9132,Nathan Eovaldi,29.16,29.16,174.547,0.0,0.0,795.7,TEX,2026,pit,SP
21390,Joe Ryan,29.16,29.16,172.8,0.0,0.0,797.7,MIN,2026,pit,SP
30279,Bryan Woo,32.0,32.0,195.095,0.0,0.0,901.6,SEA,2026,pit,SP
17277,Ranger Suarez,29.16,29.16,171.504,0.0,0.0,750.3999999999999,BOS,2026,pit,SP
25385,Drew Rasmussen,30.78,30.78,171.003,0.0,0.0,774.3000000000001,TBR,2026,pit,SP
21483,Shane McClanahan,24.3,24.3,142.175,0.0,0.0,712.2,TBR,2026,pit,SP
22250,Logan Gilbert,29.16,29.16,166.486,0.0,0.0,824.7000000000002,SEA,2026,pit,SP
25436,George Kirby,30.78,30.78,178.218,0.0,0.0,839.9999999999999,SEA,2026,pit,SP
16162,Brandon Woodruff,27.54,27.54,167.715,0.0,0.0,748.4,MIL,2026,pit,SP
22100,José Soriano,30.78,30.78,177.273,0.0,0.0,763.9,LAA,2026,pit,SP
16149,Aaron Nola,30.78,30.78,180.677,0.0,0.0,758.2000000000002,PHI,2026,pit,SP
14107,Kevin Gausman,30.78,30.78,185.401,0.0,0.0,788.9,TOR,2026,pit,SP
19853,Michael King,29.16,29.16,166.513,0.0,0.0,726.1999999999998,SDP,2026,pit,SP
14374,Tyler Glasnow,24.3,24.3,138.55,0.0,0.0,686.6000000000001,LAD,2026,pit,SP
24586,Kyle Bradish,25.92,25.92,145.078,0.0,0.0,668.5,BAL,2026,pit,SP
22182,Hunter Greene,25.92,25.92,146.766,0.0,0.0,663.5,CIN,2026,pit,SP
13543,Blake Snell,24.3,24.3,141.694,0.0,0.0,702.4,LAD,2026,pit,SP
18679,Freddy Peralta,29.16,29.16,168.291,0.0,0.0,758.1999999999999,NYM,2026,pit,SP
22201,MacKenzie Gore,29.16,29.16,161.264,0.0,0.0,726.9000000000001,TEX,2026,pit,SP
27498,Spencer Strider,27.54,27.54,160.846,0.0,0.0,750.7000000000002,ATL,2026,pit,SP
15454,Nick Pivetta,29.16,29.16,174.053,0.0,0.0,759.5,SDP,2026,pit,SP
27768,Eury Pérez,27.54,27.54,154.035,0.0,0.0,683.0,MIA,2026,pit,SP
17479,Jack Flaherty,29.16,29.16,163.146,0.0,0.0,722.5000000000001,DET,2026,pit,SP
20633,Yusei Kikuchi,30.78,30.78,177.726,0.0,0.0,725.8000000000001,LAA,2026,pit,SP
19755,Shohei Ohtani,22.68,22.68,116.914,0.0,0.0,575.5000000000002,LAD,2026,pit,SP
26221,Ryan Pepiot,30.78,30.78,174.756,0.0,0.0,737.3,TBR,2026,pit,SP
18684,Sandy Alcantara,30.78,30.78,186.581,0.0,0.0,743.1999999999998,MIA,2026,pit,SP
35333,Chase Burns,29.06,21.06,123.1,0.0,0.6505,575.3,CIN,2026,pit,SP
26378,Nick Lodolo,27.54,27.54,157.14,0.0,0.0,642.5000000000001,CIN,2026,pit,SP
29839,Emmet Sheehan,42.3,24.3,151.594,0.0,0.7767,665.0999999999999,LAD,2026,pit,SP
15689,Luis Castillo,30.78,30.78,181.473,0.0,0.0,757.3000000000001,SEA,2026,pit,SP
12970,Joe Musgrove,27.54,27.54,158.921,0.0,0.0,657.2,SDP,2026,pit,SP
25377,Brady Singer,30.78,30.78,178.185,0.0,0.0,650.6999999999999,CIN,2026,pit,SP
30134,Tanner Bibee,30.78,30.78,182.086,0.0,0.0,724.0,CLE,2026,pit,SP
16137,Carlos Rodón,27.54,27.54,161.648,0.0,0.0,696.1000000000001,NYY,2026,pit,SP
24492,Grayson Rodriguez,22.68,22.68,128.892,0.0,0.0,566.3,LAA,2026,pit,SP
17594,Mitch Keller,30.78,30.78,179.816,0.0,0.0,690.8999999999999,PIT,2026,pit,SP
15440,Matthew Boyd,29.16,29.16,173.75,0.0,0.0,701.0000000000001,CHC,2026,pit,SP
21455,Kris Bubic,34.3,24.3,149.332,0.0,0.666,624.4000000000001,KCR,2026,pit,SP
11156,Merrill Kelly,27.54,27.54,160.512,0.0,0.0,661.8000000000001,ARI,2026,pit,SP
20302,David Peterson,29.16,29.16,169.662,0.0,0.0,706.1000000000001,NYM,2026,pit,SP
19291,Zac Gallen,30.78,30.78,183.879,0.0,0.0,748.1000000000003,ARI,2026,pit,SP
20492,Casey Mize,27.54,27.54,150.592,0.0,0.0,609.0000000000001,DET,2026,pit,SP
35456,Trey Yesavage,36.68,22.68,145.861,0.0,0.6524,682.3000000000001,TOR,2026,pit,SP
21844,Braxton Garrett,30.68,22.68,135.036,0.0,0.6387,568.2,MIA,2026,pit,SP
27473,Cade Cavalli,25.92,25.92,151.72,0.0,0.0,599.6999999999999,WSN,2026,pit,SP
17920,Cody Ponce,47.44,19.44,138.808,0.0,0.6524,614.7,TOR,2026,pit,RP
29911,Andrew Abbott,29.16,29.16,170.317,0.0,0.0,586.2,CIN,2026,pit,SP
33703,Nolan McLean,25.92,25.92,149.04,0.0,0.0,645.9000000000001,NYM,2026,pit,SP
13361,Steven Matz,36.68,22.68,139.556,0.0,0.6597,560.8,TBR,2026,pit,SP
19427,Shane Bieber,31.44,19.44,123.834,0.0,0.6524,553.4999999999999,TOR,2026,pit,SP
21224,Bailey Ober,27.54,27.54,159.594,0.0,0.0,590.9,MIN,2026,pit,SP
13125,Gerrit Cole,22.68,22.68,134.18,0.0,0.0,567.8,NYY,2026,pit,SP
30122,Gavin Williams,30.78,30.78,177.33,0.0,0.0,719.1000000000001,CLE,2026,pit,SP
12304,Chris Bassitt,39.16,29.16,181.374,0.0,0.6582,679.9000000000001,BAL,2026,pit,SP
27468,Reid Detmers,34.3,24.3,148.721,0.0,0.6222,631.6000000000001,LAA,2026,pit,SP
14078,Michael Wacha,29.16,29.16,170.047,0.0,0.0,582.6,KCR,2026,pit,SP
33829,Shota Imanaga,25.92,25.92,152.374,0.0,0.0,580.0,CHC,2026,pit,SP
21690,Edward Cabrera,25.92,25.92,139.701,0.0,0.0,620.2,CHC,2026,pit,SP
22286,Trevor Rogers,25.92,25.92,149.479,0.0,0.0,562.3000000000001,BAL,2026,pit,SP
27474,Max Meyer,34.3,24.3,149.11,0.0,0.6387,605.3000000000001,MIA,2026,pit,SP
13649,Clay Holmes,27.54,27.54,153.997,0.0,0.0,619.8000000000001,NYM,2026,pit,SP
16400,Reynaldo López,36.3,24.3,152.047,0.0,0.6487,659.3,ATL,2026,pit,SP
29868,Bubba Chandler,37.92,25.92,162.414,0.0,0.6584,613.7,PIT,2026,pit,SP
27782,Brandon Pfaadt,29.16,29.16,166.547,0.0,0.0,652.1000000000001,ARI,2026,pit,SP
22264,Shane Baz,27.54,27.54,158.884,0.0,0.0,612.9000000000001,BAL,2026,pit,SP
23920,Brayan Bello,27.54,27.54,156.091,0.0,0.0,577.6000000000001,BOS,2026,pit,SP
31687,Shane Smith,29.16,29.16,168.339,0.0,0.0,609.8,CHW,2026,pit,SP
15890,Luis Severino,29.16,29.16,172.823,0.0,0.0,593.9000000000001,ATH,2026,pit,SP
16432,Foster Griffin,34.44,19.44,125.808,0.0,0.6461,518.9000000000001,WSN,2026,pit,SP
17677,Jeffrey Springs,29.16,29.16,166.053,0.0,0.0,554.0000000000001,ATH,2026,pit,SP
sa3062955,Tatsuya Imai,25.92,25.92,152.928,0.0,0.0,579.2,HOU,2026,pit,SP
12447,Seth Lugo,27.54,27.54,161.288,0.0,0.0,570.3000000000002,KCR,2026,pit,SP
27863,Jared Jones,23.82,17.82,106.921,0.0,0.6584,486.7000000000001,PIT,2026,pit,SP
23793,Braxton Ashcraft,46.68,22.68,147.481,0.0,0.6584,585.8999999999999,PIT,2026,pit,RP
22543,Taj Bradley,32.68,22.68,134.534,0.0,0.6401,539.9,MIN,2026,pit,SP
31827,Zebby Matthews,33.44,19.44,118.807,0.0,0.6401,493.89999999999986,MIN,2026,pit,SP
8700,Justin Verlander,25.92,25.92,143.292,0.0,0.0,520.7,DET,2026,pit,SP
11486,Robbie Ray,30.78,30.78,179.798,0.0,0.0,726.0,SFG,2026,pit,SP
24728,Mike Burrows,34.3,24.3,139.597,0.0,0.6557,555.6,HOU,2026,pit,SP
25977,Quinn Priester,25.92,25.92,147.317,0.0,0.0,545.4,MIL,2026,pit,SP
15873,Sean Manaea,43.06,21.06,136.065,0.0,0.7168,583.5,NYM,2026,pit,RP
11674,Jameson Taillon,27.54,27.54,161.456,0.0,0.0,549.6000000000001,CHC,2026,pit,SP
32095,Cam Schlittler,22.68,22.68,126.418,0.0,0.0,511.40000000000015,NYY,2026,pit,SP
19716,Dustin May,37.92,25.92,163.221,0.0,0.6733,631.1000000000001,STL,2026,pit,SP
30146,Jack Leiter,27.54,27.54,149.683,0.0,0.0,550.2,TEX,2026,pit,SP
30184,Noah Cameron,25.92,25.92,148.366,0.0,0.0,532.6,KCR,2026,pit,SP
20387,Anthony Kay,35.06,21.06,134.042,0.0,0.5829,486.99999999999994,CHW,2026,pit,SP
26253,Ryne Nelson,37.54,27.54,163.823,0.0,0.6573,620.6,ARI,2026,pit,SP
31846,Spencer Schwellenbach,14.58,14.58,86.5096,0.0,0.0,404.00000000000006,ATL,2026,pit,SP
13164,Eduardo Rodriguez,30.68,22.68,133.511,0.0,0.6573,513.8,ARI,2026,pit,SP
31757,Mason Miller,66.0,0.0,66.0,31.601,1.9898,605.0000000000001,SDP,2026,pit,RP
16256,Kyle Freeland,29.16,29.16,167.643,0.0,0.0,486.6,COL,2026,pit,SP
13774,Zach Eflin,35.3,24.3,147.79,0.0,0.6582,535.9000000000001,BAL,2026,pit,SP
31623,Jacob Misiorowski,32.3,24.3,139.252,0.0,0.6166,578.6000000000001,MIL,2026,pit,SP
