,team_name,total_salary,projected_fpts,num_players
1,Large Farva,389,16205.800000000005,40
2,Big Trouble,378,16108.2,32
3,Hollyhood,396,16063.100000000002,40
4,The Milwaukee Beers,394,15708.7,38
5,Chyna Jr,393,15630.400000000001,31
6,Bartolo's Meatballs,394,15587.699999999999,37
7,Titty City,365,15441.6,40
8,Cat & Kaboom,400,15315.0,40
9,Busch Banditos,364,15025.200000000003,40
10,Vance Munson VagHawks,375,14648.7,37
11,Rick Vaughn's Wild Things,391,14544.199999999999,39
12,The Baseball Team,346,12106.599999999999,38
