Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Aaron Judge","NYY",144.956,637.485,512.077,148.534,76.2324,24.5882,1.00463,46.7084,107.279,112.225,114.072,10.08,157.168,6.09321,4.73472,0.508666,9.87216,8.78633,2.54663,0.290061,0.17894,0.246544,0.725794,0.421834,0.615643,0.432474,1.03748,0.325581,3.68956,0.325388,-0.963786,-0.515627,137.132,61.8085,181.794,-1.47941,0.79896,60.14872622489929,-6.20372086763382,7.72667,1.8899999856948853,4.03984,0.841682,1.48218,4.03984,-0.841682,3.02376,1211.1,8.352413793,1211.1,8.352413793,,,,,,,,,,,,,,,,,,,"Aaron Judge","15640",592450
"Bobby Witt Jr.","KCR",151.216,659.757,598.316,173.978,102.721,36.7116,6.26187,28.2839,99.9997,91.7864,48.2088,5.73085,112.952,6.56255,5.98867,0.681535,6.19419,33.7694,9.26842,0.29078,0.0730705,0.171202,0.426809,0.347077,0.514888,0.36468,0.861965,0.224108,6.99683,0.314628,1.32351,1.95643,105.609,27.6534,135.224,3.27994,4.9738,30.746731281280518,11.9745454788208,6.65546,2.9600000381469727,3.07912,0.177392,0.681324,3.07912,-0.177392,4.09157,985.5,6.526490066,985.5,6.526490066,,,,,,,,,,,,,,,,,,,"Bobby Witt Jr.","25764",677951
"Shohei Ohtani","LAD",148.128,659.306,558.534,158.204,79.3162,27.3289,5.09955,46.4594,121.702,108.948,91.6252,10.0296,159.255,4.51876,3.69103,0.937437,7.33718,24.0596,6.98994,0.283249,0.138972,0.241549,0.575336,0.386331,0.599982,0.411244,0.986313,0.316733,6.4901,0.31344,0.385695,0.857309,130.462,52.5598,167.211,1.243,0,53.616318106651306,-13.983323097229004,6.33793,1.309999942779541,3.24171,-0.488259,0.95675,3.24171,0.488259,3.72433,1182,7.986486486,1182,7.986486486,,,,,,,,,,,,,,,,,,,"Shohei Ohtani","19755",660271
"Juan Soto","NYM",153.94,674.851,541.727,148.057,83.9546,24.6453,0.997082,38.4601,108.412,98.73,123.991,8.8315,121.075,3.62843,4.22864,1.27698,12.5408,21.1777,5.35911,0.273306,0.18373,0.17941,1.02408,0.409273,0.535467,0.40185,0.94474,0.262161,4.59007,0.283621,-0.875876,0.702455,128.391,48.6519,160.757,-0.173421,-6.54181,48.28758491575718,-13.86259651184082,5.85891,4.46999979019165,1.14549,-0.591922,0.708152,1.14549,0.591922,4.0558,1132.1,7.351298701,1132.1,7.351298701,,,,,,,,,,,,,,,,,,,"Juan Soto","20123",665742
"Gunnar Henderson","BAL",152.405,657.346,579.47,156.292,93.1698,32.7669,4.18203,26.1735,96.3895,83.0045,67.0798,3.50442,139.626,5.88004,4.38094,0.535493,9.22096,23.6374,5.09889,0.269716,0.102046,0.212408,0.480426,0.349038,0.4762,0.354192,0.825238,0.206484,6.06063,0.31125,0.668291,1.56581,99.6255,21.9549,129.978,2.2341,-0.406386,25.459713220596313,6.649380594491959,5.59996,12.510000228881836,1.8386,0.0476063,0.417618,1.8386,-0.0476063,4.44318,908.1,5.974342105,908.1,5.974342105,,,,,,,,,,,,,,,,,,,"Gunnar Henderson","26289",683002
"Julio Rodríguez","SEA",151.402,658.878,598.894,162.233,101.809,27.9663,2.98011,29.4776,93.2631,91.091,47.2501,3.91778,145.451,8.8666,3.39517,0.472341,10.5229,27.8924,6.50143,0.270888,0.071713,0.220756,0.324851,0.331634,0.475196,0.345302,0.80683,0.204309,6.01085,0.310641,-0.156301,1.89932,95.1017,17.2502,128.941,1.74302,4.6093,24.217324137687683,6.755021572113037,5.48905,10.15999984741211,2.61494,-0.955555,0.268457,2.61494,0.955555,4.64206,880.7,5.832450331,880.7,5.832450331,,,,,,,,,,,,,,,,,,,"Julio Rodriguez","23697",677594
"Cal Raleigh","SEA",150.331,625.895,540.168,123.67,61.213,22.525,0.293092,39.6384,85.4028,101.642,75.6313,8.67732,169.006,5.68596,3.90477,0.504673,5.74295,8.01914,2.28546,0.228946,0.120837,0.270023,0.447508,0.327774,0.491877,0.346746,0.819651,0.26293,3.3125,0.250519,-1.38857,-0.215761,91.0751,17.1207,129.936,-1.60433,3.24826,20.479005455970764,10.018670082092285,5.32434,18.3799991607666,2.66487,1.22066,1.78467,2.66487,-1.22066,2.62044,852.7,5.684666666,852.7,5.684666666,,,,,,,,,,,,,,,,,,,"Cal Raleigh","21534",663728
"José Ramírez","CLE",150.686,648.991,574.932,156.872,93.117,33.2024,2.88584,27.6664,92.2099,88.7539,63.7927,10.08,74.349,4.48561,5.54685,0.233439,6.7797,33.3157,8.02991,0.272853,0.0982953,0.114561,0.858018,0.347048,0.485005,0.352377,0.832053,0.212153,6.03545,0.270042,-0.294786,2.37582,97.4028,20.7196,128.468,2.08103,0.469386,23.85640597343445,1.068718045949936,4.83553,5.690000057220459,2.02452,0.197188,0.563267,2.02452,-0.197188,4.24898,924.5,6.122516556,924.5,6.122516556,,,,,,,,,,,,,,,,,,,"Jose Ramirez","13510",608070
"Ketel Marte","ARI",140.796,615.658,535.862,147.484,86.9847,29.5658,2.44429,28.4889,88.6154,86.5607,67.5518,5.14505,100.088,6.72123,4.93837,0.585281,11.4702,5.27598,1.62192,0.275227,0.109723,0.16257,0.674925,0.360537,0.499018,0.366755,0.859556,0.223791,4.1106,0.288666,-0.0124571,-0.639613,99.5871,26.8423,135.84,-0.65207,0.187305,25.499716341495514,0.2589351013302803,4.73111,32.90999984741211,3.48817,0.136358,0.893424,3.48817,-0.136358,3.80877,877.7,6.224822695,877.7,6.224822695,,,,,,,,,,,,,,,,,,,"Ketel Marte","13613",606466
"Fernando Tatis Jr.","SDP",148.053,645.732,565.35,152.247,93.4074,28.0877,2.43377,28.318,97.5254,80.7215,70.5899,3.44417,128.002,6.10377,3.02427,0.663182,10.4995,25.5955,5.99321,0.269296,0.109318,0.198228,0.551474,0.354909,0.477856,0.35843,0.832765,0.20856,5.84997,0.300758,0.208045,1.56456,100.087,23.7888,130.931,1.77261,5.6084,25.37872302532196,-1.4362893104553223,4.68558,14.529999732971191,2.56602,-0.582847,0.462857,2.56602,0.582847,4.38286,905.6,6.118918918,905.6,6.118918918,,,,,,,,,,,,,,,,,,,"Fernando Tatis Jr.","19709",665487
"Ronald Acuña Jr.","ATL",143.665,629.346,533.07,148.963,93.7189,24.9617,2.05724,28.2256,105.588,77.6135,85.8669,3.61906,134.434,7.02879,2.52421,0.856033,10.3532,24.8927,6.75104,0.279444,0.136438,0.213608,0.638731,0.384826,0.492837,0.378742,0.877662,0.213392,5.56053,0.32375,1.20075,1.0058,107.926,33.5642,144.565,2.20655,-3.1961,35.44774866104126,-10.61013412475586,4.68347,6.090000152587891,3.31603,-0.214719,0.719949,3.31603,0.214719,4.04007,955.4,6.634722222,955.4,6.634722222,,,,,,,,,,,,,,,,,,,"Ronald Acuna Jr.","18401",660670
"Kyle Tucker","LAD",142.861,619.944,527.655,141.737,82.045,27.7531,2.20268,29.7367,94.2602,87.8556,84.3664,6.03645,92.1431,3.21006,3.54642,1.16629,8.07563,23.0042,4.56124,0.268618,0.136087,0.148631,0.915601,0.370592,0.498633,0.371609,0.869224,0.230015,5.38299,0.273625,-0.528615,1.653,102.723,29.4722,139.984,1.12438,0.06315,30.42126488685608,-6.550804533064365,4.58892,14.039999961853027,1.67705,0.476403,0.275448,1.67705,-0.476403,4.63274,932.5,6.52097902,932.5,6.52097902,,,,,,,,,,,,,,,,,,,"Kyle Tucker","18345",663656
"Francisco Lindor","NYM",140.058,618.168,546.792,141.467,87.9038,27.4813,1.30839,24.7737,90.9946,75.7303,55.2156,1.25746,113.381,10.4215,4.83243,0.906745,7.80555,22.6329,5.27082,0.258722,0.0893213,0.183415,0.48699,0.335521,0.449689,0.339863,0.78521,0.190967,5.52224,0.28223,-0.49688,1.36275,86.496,13.4546,118.176,0.865875,2.84624,14.145650446414948,8.850101232528687,4.49328,25.06999969482422,4.10116,1.58835,0.511292,4.10116,-1.58835,4.31828,786.3,5.616428571,786.3,5.616428571,,,,,,,,,,,,,,,,,,,"Francisco Lindor","12916",596019
"Vladimir Guerrero Jr.","TOR",152.948,662.514,576.642,169.539,108.567,31.7229,0.467357,28.7817,93.6847,95.2017,74.8943,7.96966,90.6734,6.27805,4.47295,0.227215,15.1822,4.69451,2.0483,0.294011,0.113046,0.136863,0.825978,0.378554,0.500383,0.375517,0.878937,0.206372,2.95707,0.304894,-0.225654,-1.0999,111.879,33.5982,143.827,-1.32555,-0.972882,32.89688217639923,-12.969068765640259,4.37186,17.84000015258789,2.85344,0.291166,1.3364,2.85344,-0.291166,3.21813,987.3,6.452941176,987.3,6.452941176,,,,,,,,,,,,,,,,,,,"Vladimir Guerrero Jr.","19611",665489
"Corey Seager","TEX",123.003,526.432,458.964,125.133,74.7347,23.613,0.361636,26.424,69.9109,75.5473,59.3165,9.34035,97.7246,4.41825,3.54178,0.192031,9.83647,2.42444,0.552315,0.272643,0.112676,0.185636,0.606977,0.358901,0.498387,0.363061,0.857288,0.225744,2.64986,0.291731,-0.861601,-0.593763,83.5754,21.3733,136.049,-1.45536,0.334561,20.911418795585632,3.656391352415085,4.36739,98.08999633789062,3.20727,-0.330975,0.835772,3.20727,0.330975,3.88564,745,6.056910569,745,6.056910569,,,,,,,,,,,,,,,,,,,"Corey Seager","13624",608369
"Corbin Carroll","ARI",138.309,603.598,525.167,134.988,72.7086,26.5807,10.1196,25.5791,96.838,76.969,63.5964,2.56309,127.656,8.12878,4.60092,2.10567,6.06945,31.8426,6.67223,0.257038,0.105362,0.211492,0.498185,0.343667,0.49231,0.356735,0.835977,0.235272,8.17382,0.29057,1.95509,2.69955,92.7259,21.4061,128.976,4.65464,3.00207,25.3838210105896,-3.1196839809417725,4.33253,13.470000267028809,1.64694,0.122435,0.918679,1.64694,-0.122435,3.7751,867.9,6.289130434,867.9,6.289130434,,,,,,,,,,,,,,,,,,,"Corbin Carroll","25878",682998
"William Contreras","MIL",144.513,602.868,525.573,139.744,92.3147,27.367,0.878089,19.1838,76.2332,76.878,69.0259,3.253,116.155,3.80327,4.10793,0.358025,13.9817,5.90937,2.02718,0.265888,0.114496,0.192671,0.594254,0.352812,0.430802,0.341131,0.783614,0.164914,3.27837,0.305724,-0.483355,-0.717041,84.9758,13.7422,120.025,-1.2004,1.74216,13.108149290084839,8.907095670700073,4.30458,54.11000061035156,1.95519,-0.79868,0.575756,1.95519,0.79868,4.23233,745.4,5.140689655,745.4,5.140689655,,,,,,,,,,,,,,,,,,,"William Contreras","20503",661388
"Will Smith","LAD",124.228,500.64,428.518,112.11,69.6035,21.2168,1.2291,20.0602,68.9606,68.6289,57.9623,2.61134,97.6811,8.34634,5.6278,0.18523,7.05221,2.45884,1.05838,0.261622,0.115776,0.195113,0.593383,0.356512,0.457309,0.35172,0.813821,0.195687,3.40661,0.290923,-0.715054,-0.821667,74.8707,15.7162,126.321,-1.53672,1.76442,14.037885665893555,10.760051369667053,4.2707,103.77999877929688,2.99979,0.218581,0.5356,2.99979,-0.218581,4.28587,651.8,5.256451612,651.8,5.256451612,,,,,,,,,,,,,,,,,,,"Will Smith","19197",669257
"Trea Turner","PHI",143.444,627.633,577.771,163.297,111.977,29.4107,4.02159,17.8877,89.9423,71.0274,40.1128,0.547139,113.406,5.36557,3.45219,0.93204,10.4171,27.8343,5.09266,0.282633,0.0639112,0.180689,0.353709,0.333134,0.440338,0.33487,0.773472,0.157704,6.56176,0.323183,1.25747,2.44548,85.2761,11.1164,113.371,3.70294,0.553935,13.649521112442017,7.19488126039505,4.26908,27.1299991607666,2.54995,1.40082,1.03831,2.54995,-1.40082,3.61558,785.1,5.49020979,785.1,5.49020979,,,,,,,,,,,,,,,,,,,"Trea Turner","16252",607208
"Mookie Betts","LAD",142.168,621.168,544.822,145.92,92.3182,29.8478,2.42019,21.3334,88.5222,80.5659,66.0174,1.8867,72.0333,4.24847,5.54022,0.54054,8.93048,9.02562,2.44861,0.26783,0.106279,0.115964,0.916485,0.348334,0.448969,0.345125,0.797303,0.181139,4.52962,0.272621,-0.31464,-0.258494,89.5695,16.1737,121.791,-0.573134,-1.86555,15.424872398376465,4.716285467147827,4.21161,55.72999954223633,1.76399,-0.27133,0.639912,1.76399,0.27133,4.14678,789.9,5.562676056,789.9,5.562676056,,,,,,,,,,,,,,,,,,,"Mookie Betts","13611",605141
"Junior Caminero","TBR",147.876,630.993,579.429,156.502,92.5398,26.5147,0.992616,36.4552,83.6551,102.55,42.8899,1.90726,123.128,3.81252,4.66434,0.197441,15.1094,5.8197,1.59986,0.270097,0.0679721,0.195133,0.348337,0.32214,0.508031,0.352672,0.830171,0.237933,3.5573,0.28279,-0.120526,-0.397871,94.8525,20.2958,126.975,-0.518398,-2.57317,19.598896622657776,-0.8676483631134033,4.10138,16.510000228881836,3.0292,-0.745605,1.18261,3.0292,0.745605,3.42319,869.4,5.874324324,869.4,5.874324324,,,,,,,,,,,,,,,,,,,"Junior Caminero","28163",691406
"Zach Neto","LAA",147.823,633.879,566.624,142.369,84.1039,30.379,1.2296,26.6565,86.2946,75.1616,44.3659,3.33411,155.43,16.4778,3.5681,2.84344,7.84326,26.8199,8.14846,0.251258,0.0699911,0.245204,0.28544,0.322031,0.450346,0.332608,0.772377,0.199088,5.60626,0.298147,0.511067,1.09215,84.9607,10.063,112.487,1.60322,0.419614,10.93228566646576,7.263281911611557,4.0938,27.239999771118164,1.50876,-0.538232,0.727826,1.50876,0.538232,4.02956,783.6,5.294594594,783.6,5.294594594,,,,,,,,,,,,,,,,,,,"Zach Neto","31347",687263
"Elly De La Cruz","CIN",147.758,636.302,568.425,146.793,88.8209,30.0584,5.44073,22.4728,91.9024,77.0027,60.7239,5.48105,170.428,3.41843,2.74873,0.98589,8.83995,40.399,10.0179,0.258245,0.0954325,0.267841,0.356302,0.332016,0.448874,0.335139,0.78089,0.190629,7.31103,0.328652,1.13569,3.00365,86.5929,11.4089,110.286,4.13935,-0.598399,11.896591663360596,6.004729092121124,3.99748,8.510000228881836,2.44797,-0.353213,1.27714,2.44797,0.353213,3.29715,817.5,5.523648648,817.5,5.523648648,,,,,,,,,,,,,,,,,,,"Elly De La Cruz","26668",682829
"Geraldo Perdomo","ARI",150.326,647.845,548.868,143.97,99.9925,27.6748,3.74422,12.5582,88.4365,64.7717,75.7896,1.00409,86.5474,7.58422,6.27083,9.33294,10.1866,20.5326,5.34668,0.262303,0.116987,0.133593,0.875701,0.356052,0.395009,0.331903,0.751061,0.132706,5.8388,0.288162,0.236582,0.713058,86.4615,9.91365,111.965,0.949641,0.20442,10.136705935001373,7.163947582244873,3.97531,77.22000122070312,2.72856,-0.30101,0.940164,2.72856,0.30101,3.74645,761.5,5.076666666,761.5,5.076666666,,,,,,,,,,,,,,,,,,,"Geraldo Perdomo","22799",672695
"Yordan Alvarez","HOU",129.289,552.655,469.459,136.769,79.5439,27.2968,1.06297,28.8657,77.3282,84.0355,69.4054,9.828,93.3298,6.80124,6.47775,0.512159,7.77181,3.28752,1.20275,0.291334,0.125585,0.168875,0.743657,0.385726,0.538469,0.389014,0.924195,0.247135,2.96934,0.305036,-0.703171,-0.798374,99.3835,34.083,153.096,-1.50155,-1.94652,33.08369433879852,-13.71823239326477,3.92747,33.97999954223633,3.42046,0.506566,1.13484,3.42046,-0.506566,3.48689,885.7,6.865891472,885.7,6.865891472,,,,,,,,,,,,,,,,,,,"Yordan Alvarez","19556",670541
"Jeremy Peña","HOU",146.289,632.513,577.953,157.827,109.197,29.0025,1.93661,17.6909,81.6806,68.6462,37.0331,1.293,112.915,11.5404,3.73345,2.25285,12.0062,18.5048,4.47677,0.273079,0.0585492,0.178518,0.327973,0.327484,0.421791,0.325654,0.749275,0.148712,5.36651,0.310667,0.329614,0.834642,81.2065,6.47027,109.45,1.16426,0.681227,8.209356427192688,7.453859090805054,3.82989,91.52999877929688,2.60743,0.461783,0.672937,2.60743,-0.461783,4.10275,743.4,5.091780821,743.4,5.091780821,,,,,,,,,,,,,,,,,,,"Jeremy Pena","21636",665161
"Jackson Merrill","SDP",142.799,606.173,555.209,149.33,92.6047,30.492,4.09681,22.1369,77.2098,80.5386,39.7002,1.73742,118.602,3.57764,5.10625,2.5794,7.27156,7.78289,2.47434,0.268962,0.0654932,0.195658,0.334733,0.319103,0.458254,0.332831,0.777356,0.189291,4.80193,0.303148,0.89329,-0.342291,81.3567,9.73266,113.345,0.550999,4.27519,10.112202167510986,6.282989501953125,3.77643,71,1.66807,-0.0186464,0.564276,1.66807,0.0186464,4.24763,737.6,5.158041958,737.6,5.158041958,,,,,,,,,,,,,,,,,,,"Jackson Merrill","29490",701538
"Wyatt Langford","TEX",142.464,612.838,531.292,132.947,78.8649,27.5862,2.13588,24.3599,83.7101,74.208,71.5891,2.8323,143.486,5.41573,3.99856,0.542948,7.29057,22.7803,5.41156,0.250233,0.116816,0.234134,0.498927,0.342893,0.447747,0.342265,0.79064,0.197514,5.63611,0.29552,-0.0817411,1.32963,86.9455,14.534,121.723,1.24789,1.2448,16.938418745994568,-2.5787163972854614,3.62724,41.11000061035156,3.2651,-0.81247,0.583428,3.2651,0.81247,4.2221,792.7,5.582394366,792.7,5.582394366,,,,,,,,,,,,,,,,,,,"Wyatt Langford","33333",694671
"Pete Crow-Armstrong","CHC",147.45,619.699,562.66,138.29,81.9798,28.3443,4.94753,23.0184,84.2323,78.5729,34.6503,1.80522,149.768,8.31203,5.81827,8.25802,4.14203,33.657,7.68163,0.245779,0.0559148,0.241679,0.231359,0.296435,0.436471,0.313756,0.732906,0.190692,7.33704,0.291317,0.192534,2.77273,73.5747,0.352488,100.242,2.96526,9.03513,3.1424622237682343,11.310585975646973,3.62456,31.270000457763672,2.53574,-0.474223,1.12636,2.53574,0.474223,3.49819,706.9,4.808843537,706.9,4.808843537,,,,,,,,,,,,,,,,,,,"Pete Crow-Armstrong","27769",691718
"Shea Langeliers","ATH",128.289,525.927,478.388,121.238,66.0084,24.7817,1.24815,29.1996,69.5791,76.2146,39.0355,1.13317,119.226,3.76977,4.13097,0.602757,7.79969,5.57936,1.49321,0.25343,0.0742223,0.226697,0.327407,0.31227,0.493563,0.342759,0.805833,0.240133,3.83462,0.275486,-0.153726,-0.206495,74.8262,12.6838,120.166,-0.360222,-2.6183,12.174818336963654,4.640848875045776,3.54158,54.779998779296875,1.88886,0.585485,0.710405,1.88886,-0.585485,4.05279,688,5.375,688,5.375,,,,,,,,,,,,,,,,,,,"Shea Langeliers","25816",669127
