Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Aaron Judge","NYY",144.996,637.347,518.218,148.802,72.6396,26.0518,0.403961,49.7068,105.748,119.731,108.15,18.2097,161.724,5.97916,4.23405,0.512118,8.90287,7.83049,2.89313,0.287142,0.169687,0.253746,0.668729,0.413036,0.626728,0.428765,1.03976,0.339587,3.21837,0.318613,,-0.73146,135.184,59.8761,181.032,-0.73146,-2.34,60.13914579153061,-9.344637632369995,7.44129,1.899999976158142,,,,,,,1210.6,8.348965517,1210.6,8.348965517,,,,,,,,,,,,,,,,,,,"Aaron Judge","15640",592450
"Bobby Witt Jr.","KCR",151.337,659.888,598.969,174.761,102.718,35.3983,5.51451,31.1301,104.128,96.4919,47.9561,5.00034,112.508,6.39974,5.70156,0.861585,7.0621,36.8868,8.51888,0.291769,0.0726731,0.170495,0.426248,0.347659,0.5252,0.369163,0.872859,0.233431,7.0006,0.311541,,2.8848,108.032,30.0608,135.83,2.8848,3.65,30.751545906066895,10.65634298324585,6.5603,2.990000009536743,,,,,,,1015.2,6.723178807,1015.2,6.723178807,,,,,,,,,,,,,,,,,,,"Bobby Witt Jr.","25764",677951
"Shohei Ohtani","LAD",149.107,662.837,561.298,160.073,78.1826,30.9429,3.1323,47.815,121.892,119.344,91.3191,13.5098,157.233,4.78506,3.62105,0.740387,8.78568,25.5773,8.24618,0.285183,0.13777,0.237213,0.580787,0.387546,0.607031,0.412916,0.994576,0.321847,5.97078,0.311939,,0.677117,132.06,53.741,168.955,0.677117,0,54.84789288043976,-14.075693130493164,6.42778,1.2599999904632568,,,,,,,1208.2,8.108724832,1208.2,8.108724832,,,,,,,,,,,,,,,,,,,"Shohei Ohtani","19755",660271
"Cal Raleigh","SEA",149.952,623.665,538.593,120.888,58.714,22.3574,0.845111,38.972,81.9145,103.02,73.9278,6.88507,172.209,6.20587,4.43531,0.503267,6.34473,7.31889,2.61882,0.224452,0.118538,0.276125,0.42929,0.322584,0.486178,0.342998,0.808762,0.261726,3.60638,0.24685,,-0.479847,88.8525,15.1617,127.354,-0.479847,14.95,19.62671822309494,21.703317642211914,6.42477,17.81999969482422,,,,,,,819.6,5.464,819.6,5.464,,,,,,,,,,,,,,,,,,,"Cal Raleigh","21534",663728
"Juan Soto","NYM",154.655,677.748,547.568,148.009,82.9259,26.4216,0.398801,38.2631,107.412,99.4884,121.104,8.88704,123.083,4.1548,3.83976,1.08131,13.8202,16.6914,6.06767,0.270303,0.178686,0.181606,0.983923,0.403845,0.529647,0.397495,0.933492,0.259344,3.96393,0.281356,,-0.46224,126.546,46.4646,161.183,-0.46224,-2.99,48.6845343708992,-10.34478211402893,6.22967,4.579999923706055,,,,,,,1103.9,7.121935483,1103.9,7.121935483,,,,,,,,,,,,,,,,,,,"Juan Soto","20123",665742
"Julio Rodríguez","SEA",151.447,658.92,597.576,163.37,103.407,25.7641,6.15144,28.0471,95.4325,87.1709,47.675,3.63811,145.799,9.22716,3.88654,0.555286,10.7891,25.5103,6.59589,0.273387,0.0723533,0.22127,0.326991,0.334574,0.477894,0.347484,0.812468,0.204507,6.69211,0.316458,,1.36663,96.2752,18.4188,130.444,1.36663,0.52,25.009841799736023,2.6663577556610107,5.15196,9.529999732971191,,,,,,,888.4,5.883443708,888.4,5.883443708,,,,,,,,,,,,,,,,,,,"Julio Rodriguez","23697",677594
"Gunnar Henderson","BAL",152.604,659.23,582.655,155.88,93.7379,34.6358,2.69372,24.8128,93.9919,80.0281,64.9278,3.18427,139.911,5.70311,5.41026,0.534127,12.2411,20.4843,5.22809,0.267534,0.0984904,0.212235,0.464063,0.343878,0.463983,0.34738,0.807861,0.196448,5.57832,0.309603,,0.891782,96.2651,18.372,125.286,0.891782,-1.33,20.538121104240417,5.735000014305115,5.0095,12.100000381469727,,,,,,,881.2,5.759477124,881.2,5.759477124,,,,,,,,,,,,,,,,,,,"Gunnar Henderson","26289",683002
"Fernando Tatis Jr.","SDP",148.376,645.778,564.819,154.111,93.2848,27.5028,4.12942,29.1938,99.2079,85.1057,69.6141,3.07944,128.763,6.20148,4.18881,0.954386,12.4463,23.2672,7.03549,0.27285,0.107799,0.199392,0.540638,0.356573,0.491226,0.363472,0.847799,0.218376,5.91618,0.303896,,0.676262,102.738,26.4341,138.314,0.676262,4.32,30.00091975927353,-2.740072250366211,4.98733,14.220000267028809,,,,,,,926.1,6.257432432,926.1,6.257432432,,,,,,,,,,,,,,,,,,,"Fernando Tatis Jr.","19709",665487
"Vladimir Guerrero Jr.","TOR",152.911,662.465,578.518,173.119,109.578,30.8346,1.15726,31.5488,97.5734,97.9786,71.9025,7.00165,87.399,7.13059,4.28782,0.626063,16.5041,5.84822,2.25916,0.299246,0.108538,0.13193,0.822693,0.380987,0.520147,0.383965,0.901134,0.220901,3.4552,0.305202,,-0.954451,116.415,38.1396,149.647,-0.954451,-0.37,37.80931258201599,-12.3633052110672,4.93627,18.06999969482422,,,,,,,1029,6.725490196,1029,6.725490196,,,,,,,,,,,,,,,,,,,"Vladimir Guerrero Jr.","19611",665489
"Corey Seager","TEX",123.629,528.903,456.001,125.651,73.4162,23.6265,0.669607,27.9385,71.2198,83.32,59.8592,8.46927,99.5314,4.63161,4.26101,0.483697,10.3132,1.75205,0.706212,0.275549,0.113176,0.188185,0.60141,0.362345,0.514103,0.370387,0.876448,0.238554,2.37439,0.293613,,-0.793302,87.1135,24.6195,141.095,-0.793302,-0.09,24.824331760406494,3.9848009645938873,4.81003,97.55999755859375,,,,,,,784.1,6.323387096,784.1,6.323387096,,,,,,,,,,,,,,,,,,,"Corey Seager","13624",608369
