Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Tarik Skubal","DET",15.0775,7.22588,14.9414,2.60002,29.369,29.369,0,0,,188.133,738.176,141.55,58.22,54.35,15.65,36.6794,0.490481,7.24695,232.842,11.1388,1.75469,6.34804,0.748671,0.315429,0.0496892,0.2657397948205471,0.203889,0.947357,0.28244,0.767719,,,2.44172,6.81828,6.39166,6.889999866485596,,,,,,,1159.2,6.165957446808511,1066,5.670212765957447,,,,,,,,,,,,,,,,,,,"Tarik Skubal","22267",669373
"Paul Skenes","PIT",13.3715,8.5393,14.3581,3.08983,29.795,29.795,0,0,,184.175,743.384,149.476,67.57,63.23,17.0505,47.1485,0.457826,5.05783,219.405,10.7216,2.30399,4.65348,0.833202,0.295143,0.0634241,0.23171905428171158,0.216263,1.0676,0.291222,0.747043,,,2.80646,5.79028,4.88444,10.25,,,,,,,1047.1000000000004,5.690760869565219,981,5.331521739130435,,,,,,,,,,,,,,,,,,,"Paul Skenes","33677",694973
"Cristopher Sánchez","PHI",14.2222,7.5799,14.9514,3.06978,28.979,28.979,0,0,,184.997,749.573,162.923,68.2,63.1,13.8351,43.4597,0.470216,5.90094,188.446,9.16781,2.11429,4.33612,0.673069,0.251405,0.0579793,0.19342581182718277,0.232676,1.1156,0.299415,0.738891,,,2.87051,5.13712,4.96138,25.610000610351562,,,,,,,1002,5.416216216216216,972,5.254054054054054,,,,,,,,,,,,,,,,,,,"Cristopher Sanchez","20778",650911
"Garrett Crochet","BOS",13.0806,8.25474,14.3611,3.26023,28.873,28.873,0,0,,180.429,727.891,149.805,70.31,65.36,20.5963,41.2628,0.522956,6.09458,214.073,10.6782,2.05824,5.18804,1.02737,0.294101,0.0566882,0.23741259798407555,0.220129,1.05896,0.289794,0.744348,,,3.03359,5.07868,4.37896,11.789999961853027,,,,,,,970.7,5.392777777777778,914,5.0777777777777775,,,,,,,,,,,,,,,,,,,"Garrett Crochet","27463",676979
"Logan Webb","SFG",13.5565,8.90974,15.9624,3.36008,29.881,29.881,0,0,,192.772,791.359,177.593,77.35,71.97,16.3481,47.019,0.838679,5.78697,191.547,8.94279,2.19519,4.07381,0.76325,0.242048,0.0594156,0.18263238668441772,0.24046,1.16517,0.303858,0.730015,,,3.07211,4.98553,4.47817,60.630001068115234,,,,,,,993.6000000000001,5.14818652849741,982,5.0880829015544045,,,,,,,,,,,,,,,,,,,"Logan Webb","17995",657277
"Chris Sale","ATL",10.862,7.67169,12.3245,3.57014,25.486,25.486,0,0,,156.12,643.507,129.43,66.19,61.93,16.8767,41.6395,0.412019,11.9805,202.949,11.6996,2.40043,4.87397,0.972907,0.31538,0.0647071,0.2506732791662216,0.219415,1.09576,0.304148,0.711326,,,2.97089,4.47815,3.19625,38.880001068115234,,,,,,,853.9000000000002,5.47371794871795,803,5.147435897435898,,,,,,,,,,,,,,,,,,,"Chris Sale","10603",519242
"Bryan Woo","SEA",13.2188,8.40879,14.6665,3.39,29.303,29.303,0,0,,183.133,734.195,150.993,73.58,68.98,24.2574,36.6825,0.493269,7.41846,188.73,9.27506,1.80275,5.14496,1.19212,0.257057,0.0499629,0.2070941999554634,0.218801,1.02481,0.265635,0.742253,,,3.5184,4.35908,4.13224,36.040000915527344,,,,,,,912.4,4.9857923497267755,849,4.639344262295082,,,,,,,,,,,,,,,,,,,"Bryan Woo","30279",693433
"Max Fried","NYY",13.5882,7.63992,14.329,3.24015,28.608,28.608,0,0,,179.436,738.607,151.274,69.47,64.6,14.5052,55.0476,0.471189,9.3643,172.645,8.65936,2.76103,3.13628,0.72754,0.233744,0.074529,0.15921471267938614,0.224377,1.14983,0.280814,0.735705,,,3.33863,4.2335,4.42385,51.470001220703125,,,,,,,901.5000000000001,5.0363128491620115,854,4.770949720670391,,,,,,,,,,,,,,,,,,,"Max Fried","13743",608331
"Dylan Cease","TOR",12.4939,8.26292,12.5993,3.37019,29.306,29.306,0,0,,171.097,702.251,132.013,68.39,64.07,18.7162,63.0529,0.585196,4.44384,202.322,10.6425,3.31669,3.20876,0.984505,0.288105,0.0897869,0.1983180195093155,0.207975,1.14009,0.273851,0.750169,,,3.37569,4.21437,3.98438,76.5999984741211,,,,,,,891.5,5.213450292397661,811,4.742690058479532,,,,,,,,,,,,,,,,,,,"Dylan Cease","18525",656302
"Hunter Greene","CIN",10.5706,8.71478,12.3269,3.59004,26.933,26.933,0,0,,160.82,656.511,129.54,68.35,64.15,21.1822,45.9544,0.426751,6.42311,202.963,11.3584,2.57176,4.41661,1.18543,0.309154,0.0699979,0.23915579169988632,0.214423,1.09125,0.28516,0.734674,,,3.30039,4.17972,3.30906,57.630001068115234,,,,,,,845.1000000000001,5.249068322981367,782,4.857142857142857,,,,,,,,,,,,,,,,,,,"Hunter Greene","22182",668881
"Jesús Luzardo","PHI",12.0874,8.865,13.5413,3.68024,29.234,29.234,0,0,,175.146,725.419,152.737,77.31,71.62,20.7686,51.3255,0.491214,7.01422,193.863,9.96179,2.6374,3.77713,1.06721,0.267243,0.0707529,0.1964900717139244,0.228964,1.1651,0.291677,0.724356,,,3.4622,4.04012,3.25993,73.76000213623047,,,,,,,852.9000000000001,4.8737142857142866,816,4.662857142857143,,,,,,,,,,,,,,,,,,,"Jesus Luzardo","19959",666200
"Cole Ragans","KCR",10.6586,7.90937,11.3985,3.40008,26.132,26.132,0,0,,153.42,626.325,116.581,61.87,57.96,19.3725,50.0403,0.502277,6.96559,194.19,11.3917,2.93549,3.88067,1.13644,0.310046,0.079895,0.23015107214450836,0.204772,1.08604,0.273243,0.750906,,,3.35988,3.89807,3.43482,46.38999938964844,,,,,,,811.3,5.302614379084967,735,4.803921568627451,,,,,,,,,,,,,,,,,,,"Cole Ragans","21846",666142
